traffic_date_utc,count,uniques,last_observed_at
2026-09-08,6,1,2026-09-22T20:28:31Z
2026-09-09,3,1,2026-09-22T20:28:31Z
2026-09-10,31,1,2026-09-22T20:28:31Z
2026-09-11,8,1,2026-09-22T20:28:31Z
2026-09-12,0,0,2026-09-22T20:28:31Z
2026-09-13,26,1,2026-09-22T20:28:31Z
2026-09-14,9,1,2026-09-22T20:28:31Z
2026-09-15,3,1,2026-09-22T20:28:31Z
2026-09-16,0,0,2026-09-22T20:28:31Z
2026-09-17,0,0,2026-09-22T20:28:31Z
2026-09-18,0,0,2026-09-22T20:28:31Z
2026-09-19,0,0,2026-09-22T20:28:31Z
2026-09-20,0,0,2026-09-22T20:28:31Z
2026-09-21,0,0,2026-09-22T20:28:31Z
